,custId,sex,isElderly,partner,dependents,membershipDuration,agreementTerm,acquisitionChannel,phoneService,multipleLines,internetService,monthlyDataUsageGb,cyberProtectionService,onlineBackup,deviceProtection,techSupport,streamingTv,streamingMovies,recurringFee,cumulativeSpend,transactionMethod,paperlessBilling,billingIssues,supportTickets,lastContactRating,serviceSatisfactionScore,mobileAppSatisfaction,networkStabilityScore,avgNetworkLatencyMs,dataLimitWarnings,loyaltyPoints,customerFeedback,competitorOffers,custExit
4912,Ic70896,Male,No,No,No,64,Two year,Referral,Yes,Yes,Fiber optic,84.78,Yes,Yes,Yes,Yes,No,Yes,99.25,6549.45,Credit card (automatic),No,No,No,2,4,2,Yes,51,2,1378,"I have been a loyal customer of this company for over 5 years now and I am extremely satisfied with the service they provide. The fiber optic internet service is fast and reliable, and I have never experienced any issues with connectivity. The automatic payment method with my credit card makes it convenient for me to keep up with my monthly charges. The $99.25 monthly fee is reasonable for the quality of service I receive. Overall, I have had a positive experience with this company and would highly recommend them to others.",No,No
4756,jc39148,Female,No,Yes,Yes,12,Two year,Online,Yes,Yes,No,50.1,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,25.25,274.7,Credit card (automatic),No,No,No,Yes,4,3,Yes,110,No,1101,"I have been a customer with this company for 12 months now and I have been satisfied with the service so far. I appreciate the convenience of the automatic credit card payments and the affordable monthly charges. However, I wish there was an option for internet service as well. Overall, I have had a positive experience and I have no plans to churn at this time.",No,No
1436,rN45977,Female,No,No,Yes,Yes,Month-to-month,Online,Yes,No,DSL,60.82,Yes,Yes,No,Yes,No,No,54.5,54.5,Electronic check,No,Yes,Yes,3,5,5,Yes,10,2,978,"I have been a customer with this DSL internet provider for one month now and so far I am very satisfied with the service. The monthly charges of $54.5 are reasonable and the payment method of electronic check is convenient for me. The internet connection has been reliable and I have not experienced any issues with downtime or slow speeds. Overall, I am happy with my experience and plan to continue using this service.",Yes,No
3376,H73935,Female,No,Yes,Yes,37,Month-to-month,Online,Yes,Yes,Fiber optic,56.68,No,Yes,No,No,Yes,No,88.8,3340.55,Electronic check,Yes,No,2,4,3,3,1.6,46,No,1034,"I have been a customer with this company for 37 months now and I am extremely satisfied with the service I have received. The fiber optic internet service is fast and reliable, and I have had no issues with connectivity. The monthly charges of $88.8 are reasonable for the quality of service I am receiving. The convenience of paying with electronic check is also a plus. Overall, I have no complaints and would highly recommend this company to others.",Yes,No
905,f94746,Female,No,Yes,Yes,58,Two year,Online,Yes,No,No,24.04,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,19.85,1158.85,Mailed check,Yes,2,Yes,Yes,3,4,6.4,69,2,854,"I have been a customer with this company for almost 5 years now and I have been very satisfied with their service. The monthly charges are very reasonable at $19.85 and I appreciate the option to pay by mailed check. Even though I do not have internet service with them, I have never had any issues with my account or billing. Overall, I am happy with my experience and would recommend this company to others.",Yes,No
4521,s46786,Female,No,No,No,57,Two year,Store,Yes,No,DSL,29.75,No,Yes,Yes,Yes,Yes,No,69.75,3894.4,Mailed check,No,Yes,No,3,3,3,6.2,112,3,1366,"I have been a satisfied customer with this DSL internet service provider for the past 57 months. The monthly charges of $69.75 for the two-year contract have been reasonable and the internet service has been reliable. I appreciate being able to pay by mailing a check, as it is a convenient payment method for me. Overall, I have had a positive experience with this provider and have no plans to churn in the near future.",No,No
5439,jw51204,Male,No,No,No,13,One year,Store,Yes,No,No,45.9,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,19.95,253.8,Electronic check,Yes,No,No,4,5,3,6.5,42,No,1596,"I have been with this company for 13 months now and I have had a positive experience overall. The monthly charges are reasonable at $19.95 and I appreciate the convenience of electronic check payments. However, I do wish they offered internet service as part of their package options. Overall, I am satisfied with the service and have not experienced any issues with billing or customer service.",No,No
1878,h84337,Male,No,No,No,3,One year,Online,Yes,No,No,39.26,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,21.2,52.05,Mailed check,No,No,No,Yes,5,4,2.6,67,2,473,"I have been a customer with this company for 3 months now and I am pleased to say that I have had no issues with churning. The monthly charges of $21.2 are reasonable for the service I am receiving. However, I do wish that internet service was included in my plan as I had to seek out another provider for that. Overall, I am satisfied with the payment method of mailing a check as it is convenient for me. Looking forward to the rest of my one-year contract with this company.",No,No
5460,x39765,Male,No,Yes,Yes,68,Two year,Store,Yes,No,No,44.91,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,19.95,1303.25,Bank transfer (automatic),Yes,Yes,Yes,3,3,5,Yes,121,Yes,1401,"I have been a customer with this company for 68 months now and I have been very satisfied with their service. The automatic bank transfer payment method makes it convenient for me to pay my monthly charges of $19.95. Even though I do not have internet service with them, I have not experienced any issues with my contract type of two years. Overall, I have had a positive experience with this company and would recommend them to others.",No,No
1060,u27644,Female,No,No,No,18,Month-to-month,Agent,No,No phone service,DSL,15.35,No,Yes,Yes,Yes,No,No,35.2,607.3,Electronic check,Yes,Yes,2,Yes,5,Yes,8.4,10,2,384,"I have been a customer with this DSL internet provider for the past 18 months on a month-to-month contract. I have had no issues with their service and have never experienced any interruptions or outages. The monthly charges of $35.2 are reasonable for the service provided. I appreciate the convenience of paying with electronic check. Overall, I am satisfied with my experience and have no plans to switch to another provider.",No,No
1666,W36077,Male,No,Yes,No,35,One year,Referral,No,No phone service,DSL,40.58,Yes,Yes,Yes,No,Yes,Yes,53.15,1930.9,Credit card (automatic),No,No,Yes,5,3,5,Yes,22,Yes,1306,"I have been a customer with this DSL internet service provider for 35 months now and overall, I am satisfied with the service. The monthly charges of $53.15 are reasonable and the automatic payment method using my credit card is convenient. I have not experienced any issues with the service and have not needed to churn to a different provider. The one-year contract has been hassle-free and I plan on continuing with this provider in the future.",No,No
3610,Z41036,Male,No,Yes,No,24,Month-to-month,Store,Yes,No,Fiber optic,44.08,Yes,Yes,No,Yes,No,Yes,89.25,2210.2,Electronic check,Yes,Yes,No,3,3,2,2.5,133,Yes,1168,"I have been a customer with this fiber optic internet provider for 24 months now on a month-to-month contract. I have never experienced any issues with the service and have not had any reason to consider switching providers. The monthly charges of $89.25 are reasonable for the quality of service I receive. I appreciate the convenience of being able to pay with electronic check. Overall, I am very satisfied with my experience with this internet provider.",No,No
5895,AB21141,Female,No,No,No,Yes,Month-to-month,Store,Yes,Yes,Fiber optic,59.83,No,Yes,No,No,No,Yes,85.45,85.45,Mailed check,Yes,No,2,4,4,3,1.7,116,No,587,"I recently signed up for fiber optic internet with this provider, but unfortunately, I had to cancel after just one month. The service itself was reliable and fast, but I found the monthly charges of $85.45 to be a bit steep for my budget. Additionally, having to pay by mailed check was not very convenient for me. I wish there were more flexible payment options available. Overall, I was satisfied with the internet service itself, but the pricing and payment method were not ideal for me.",Yes,Yes
6554,GB50141,Female,No,Yes,Yes,23,Two year,Referral,Yes,No,No,63.95,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,19.65,451.55,Mailed check,Yes,Yes,No,Yes,4,5,10,72,Yes,1180,"I have been a customer with this company for almost two years now and I have been satisfied with the service. Although I do not have internet service with them, I appreciate the affordable monthly charges and the option to pay by mailed check. I have not experienced any issues with billing or customer service, so I have no reason to consider switching providers. Overall, I am happy with my experience as a customer.",No,No
6412,yJ31234,Male,No,Yes,No,50,One year,Online,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Yes,98.25,4858.7,Electronic check,Yes,No,4,2,3,3,5.3,16,3,1109,"I have been a customer with this company for 50 months now and I have been extremely satisfied with the service. The fiber optic internet service is fast and reliable, and I have had no issues with connectivity. The monthly charges of $98.25 are reasonable for the quality of service I am receiving. Additionally, I appreciate the convenience of paying with electronic check. Overall, I have no complaints and would highly recommend this company to others.",Yes,No
2115,en41380,Female,No,Yes,Yes,72,Two year,Online,Yes,No,Fiber optic,38.15,Yes,Yes,Yes,Yes,Yes,Yes,109.5,7854.9,Credit card (automatic),Yes,No,2,Yes,3,5,Yes,57,3,1275,"I have been a customer with this company for six years now and I must say I am very satisfied with the service. The fiber optic internet service has been reliable and fast, allowing me to work from home without any interruptions. The automatic credit card payment method is convenient and hassle-free. I have never experienced any issues with billing or service disruptions. Overall, I am happy with the quality of service provided and would recommend this company to others.",No,No
